initial_branch,trial_id,stage_id,bus_id,voltage_pu,voltage_deviation_component,voltage_severity_component,severity_valid,replay_source
46,11,2,15,0.878901548272373,0.0210984517276271,1.24092551693391,1,replayed_after_load_shedding
46,11,2,16,0.8973923828225,0.00260761717750013,0.151955280269495,1,replayed_after_load_shedding
46,11,2,17,0.883404112452524,0.0165958875474761,0.973901021329842,1,replayed_after_load_shedding
46,11,2,18,0.879922144716381,0.0200778552836193,1.18029364261203,1,replayed_after_load_shedding
46,11,2,19,1.00174709305107,0,0,1,replayed_after_load_shedding
46,11,2,20,0.965780086928117,0,0,1,replayed_after_load_shedding
46,11,2,21,0.889851131618419,0.0101488683815807,0.593647831323626,1,replayed_after_load_shedding
46,11,2,22,0.94675107113476,0,0,1,replayed_after_load_shedding
46,11,2,23,0.949782754236542,0,0,1,replayed_after_load_shedding
46,11,2,24,0.901352635583036,0,0,1,replayed_after_load_shedding
46,11,2,25,0.989936127243169,0,0,1,replayed_after_load_shedding
46,11,2,26,0.915416097478303,0,0,1,replayed_after_load_shedding
46,11,2,27,0.885721730441021,0.0142782695589786,0.836922715337335,1,replayed_after_load_shedding
46,11,2,28,0.90453054323699,0,0,1,replayed_after_load_shedding
46,11,2,29,0.904616728795339,0,0,1,replayed_after_load_shedding
46,11,2,30,1.0499,0,0,1,replayed_after_load_shedding
46,11,2,31,0.982,0,0,1,replayed_after_load_shedding
46,11,2,32,0.9841,0,0,1,replayed_after_load_shedding
46,11,2,33,0.9972,0,0,1,replayed_after_load_shedding
46,11,2,34,1.0123,0,0,1,replayed_after_load_shedding
46,11,2,35,1.0494,0,0,1,replayed_after_load_shedding
46,11,2,36,1.0636,0,0,1,replayed_after_load_shedding
46,11,2,37,1.0275,0,0,1,replayed_after_load_shedding
46,11,2,38,1.0265,0,0,1,replayed_after_load_shedding
46,11,2,39,1.03,0,0,1,replayed_after_load_shedding
46,12,1,1,0.894674926168087,0.00532507383191283,0.310733498390197,1,replayed_pf_result
46,12,1,2,0.971644253838815,0,0,1,replayed_pf_result
46,12,1,3,0.938096030773465,0,0,1,replayed_pf_result
46,12,1,4,0.899572453009837,0.000427546990162675,0.0248875588580045,1,replayed_pf_result
46,12,1,5,0.89908331456501,0.000916685434989573,0.0533734166483366,1,replayed_pf_result
46,12,1,6,0.907628472826141,0,0,1,replayed_pf_result
46,12,1,7,0.880367460332854,0.0196325396671456,1.15385759445108,1,replayed_pf_result
46,12,1,8,0.871914043406908,0.028085956593092,1.65770743415421,1,replayed_pf_result
46,12,1,9,0.904356482548308,0,0,1,replayed_pf_result
46,12,1,10,0.939550258981859,0,0,1,replayed_pf_result
46,12,1,11,0.92712467570776,0,0,1,replayed_pf_result
46,12,1,12,0.912632023746731,0,0,1,replayed_pf_result
46,12,1,13,0.930245675569592,0,0,1,replayed_pf_result
46,12,1,14,0.917288600381744,0,0,1,replayed_pf_result
46,12,1,15,0.940214742400373,0,0,1,replayed_pf_result
46,12,1,16,0.974652865470262,0,0,1,replayed_pf_result
46,12,1,17,0.953964964752109,0,0,1,replayed_pf_result
46,12,1,18,0.943899762626433,0,0,1,replayed_pf_result
46,12,1,19,1.02960065312555,0,0,1,replayed_pf_result
46,12,1,20,0.980283926599542,0,0,1,replayed_pf_result
46,12,1,21,0.995581473272778,0,0,1,replayed_pf_result
46,12,1,22,1.03263054957842,0,0,1,replayed_pf_result
46,12,1,23,1.02763633009313,0,0,1,replayed_pf_result
46,12,1,24,0.987060223471851,0,0,1,replayed_pf_result
46,12,1,25,0.951185584377411,0,0,1,replayed_pf_result
46,12,1,26,0.931767397350594,0,0,1,replayed_pf_result
46,12,1,27,0.935196127711696,0,0,1,replayed_pf_result
46,12,1,28,0.919812027043377,0,0,1,replayed_pf_result
46,12,1,29,0.919866347739688,0,0,1,replayed_pf_result
46,12,1,30,1.0499,0,0,1,replayed_pf_result
