parameter_set_id,metric_name,candidate_branch,tail_occurrence_count_11_28,tail_occurrence_count_12_00,selected_count_11_28,selected_count_12_00,mean_P_L_11_28,mean_P_L_12_00,delta_P_L,mean_P1_11_28,mean_P1_12_00,delta_P1,mean_P2_11_28,mean_P2_12_00,delta_P2,mean_line_loading_11_28,mean_line_loading_12_00,delta_line_loading,candidate_tail_driver,note
benchmark_calibrated_seed,SNVOR,31,240,241,12,0,0.138948859051975,0.125952056094614,-0.0129968029573608,0.137726109051975,0.124741022899593,-0.0129850861523815,0.0048577006959503,0.00483443694341076,-2.32637525395393e-05,0.32334443538057,0.313339667978004,-0.0100047674025666,no_clear_driver,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,32,174,150,0,0,0.001612970515,0.001612970515,-6.50521303491303e-19,0.000513970515,0.000513970515,0,0.001099,0.001099,-2.16840434497101e-19,0.12561927337074,0.108150986004916,-0.0174682873658236,no_clear_driver,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,33,174,150,0,0,0.001123950025,0.001123950025,0,2.4950025e-05,2.4950025e-05,-3.3881317890172e-21,0.001099,0.001099,-2.16840434497101e-19,0.725186922511469,0.705424132806495,-0.0197627897049737,no_clear_driver,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,34,174,150,0,0,0.001123950025,0.001123950025,0,2.4950025e-05,2.4950025e-05,-3.3881317890172e-21,0.001099,0.001099,-2.16840434497101e-19,0.625729599380619,0.625927479179211,0.000197879798591871,line_loading_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,35,234,241,0,0,0.001611972514,0.001611972514,0,0.000512972513999999,0.000512972514,1.0842021724855e-19,0.001099,0.001099,-2.16840434497101e-19,0.652458209277028,0.685334305627193,0.0328760963501653,P1_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,36,234,241,0,0,0.001679836582,0.001679836582,-2.16840434497101e-19,0.000580836582,0.000580836582,0,0.001099,0.001099,-2.16840434497101e-19,0.158368245806892,0.142140307280494,-0.0162279385263981,no_clear_driver,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,37,218,241,0,0,0.0224067324647554,0.0570771408287265,0.034670408363971,0.0213077324647554,0.0559744063888924,0.034666673924137,0.001099,0.00111441457851592,1.54145785159171e-05,0.739650985186251,0.737932019788437,-0.00171896539781313,P_L_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,38,234,241,0,0,0.001475246377,0.001475246377,0,0.000376246377000001,0.000376246377000001,5.42101086242752e-20,0.001099,0.001099,-2.16840434497101e-19,0.582949458609417,0.612896606148049,0.0299471475386318,P1_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,39,234,241,0,0,0.001543110445,0.001543110445,-2.16840434497101e-19,0.000444110445,0.000444110445,0,0.001099,0.001099,-2.16840434497101e-19,0.639412532051926,0.639068113312369,-0.000344418739556929,no_clear_driver,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,40,238,241,12,0,0.140023294959874,0.134157245985104,-0.00586604897477022,0.138799505043908,0.132938743910415,-0.00586076113349265,0.00622584299152623,0.00734030186884507,0.00111445887731884,0.365041313284646,0.367818296534935,0.00277698325028841,P2_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,41,238,241,0,0,0.001555086457,0.001555086457,-4.33680868994202e-19,0.000456086457000001,0.000456086457000001,5.42101086242752e-20,0.001099,0.001099,-2.16840434497101e-19,0.625145029872635,0.627871946209533,0.00272691633689748,P1_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,42,234,241,12,0,0.1424865799795,0.134255045942021,-0.00823153403747931,0.141260656902577,0.133036543867332,-0.00822411303524495,0.00800234615384615,0.00722479005629792,-0.000777556097548236,0.611546244217709,0.588732627557544,-0.022813616660165,no_clear_driver,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,43,238,241,0,0,0.001575046477,0.001575046477,-2.16840434497101e-19,0.000476046477,0.000476046477,5.42101086242752e-20,0.001099,0.001099,-2.16840434497101e-19,0.220001402367723,0.211544919223287,-0.0084564831444362,P1_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,44,238,241,0,0,0.001123950025,0.001123950025,4.33680868994202e-19,2.4950025e-05,2.4950025e-05,0,0.001099,0.001099,-2.16840434497101e-19,0.291409535904146,0.280434041402663,-0.0109754945014838,P_L_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,45,238,241,0,0,0.001550096452,0.001550096452,-2.16840434497101e-19,0.000451096452,0.000451096452000001,5.42101086242752e-20,0.001099,0.001099,-2.16840434497101e-19,0.505452821019457,0.485193979102427,-0.0202588419170304,P1_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,SNVOR,46,238,239,0,2,0.001512172414,0.001512172414,2.16840434497101e-19,0.000413172414,0.000413172414,0,0.001099,0.001099,-2.16840434497101e-19,0.60264686276502,0.582592563083123,-0.0200542996818964,P_L_increase,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,1,142,182,24,20,0.174347876423239,0.11560339677967,-0.0587444796435691,0.167688510226056,0.109179935241209,-0.0585085749848474,0.0154021237439169,0.0128997616682269,-0.00250236207568996,0.592944984075749,0.529313397798763,-0.0636315862769867,no_clear_driver,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,2,151,188,0,0,0.00656119455,0.00656119455,-3.46944695195361e-18,0.00057619455,0.00057619455,-2.16840434497101e-19,0.005975,0.005975,1.73472347597681e-18,0.271595514539472,0.258453051167525,-0.0131424633719479,P2_increase,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,3,138,166,15,25,0.265569865245652,0.263690567635516,-0.00187929761013639,0.258543995680435,0.256729549532229,-0.00181444614820586,0.0226036330348525,0.0274868366366016,0.00488320360174918,0.782168919958173,0.80109782370763,0.0189289037494569,P2_increase,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,4,153,190,4,10,0.040072918388289,0.0552961954798125,0.0152232770915235,0.0339836046627988,0.0491221954798126,0.0151385908170137,0.00759014305314898,0.00949457447518744,0.00190443142203846,0.561017379047256,0.536321455014971,-0.0246959240322848,P_L_increase,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,5,157,199,0,0,0.006457241925,0.006457241925,6.07153216591882e-18,0.000472241925,0.000472241925,-3.79470760369927e-19,0.005975,0.005975,8.67361737988404e-19,0.462006968100134,0.489133939960679,0.0271269718605445,P_L_increase,11.28 vs 12.00 tail candidate delta.
