parameter_set_id,scenario_id,sample_variant,sigma,metric_name,var_value,sample_count,valid_sample_count,quantile_rule,probability_status_summary,note
low_hidden_failure,distributed_30_39,severity_only,0.95,SLFOR,2.85476041608016,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.95,SNVOR,1.92682338253775,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.95,CRI_basic,1.37781524398594,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.95,CRI_recomputed,1.37781524398594,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.98,SLLR,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.98,SLFOR,6.37291437566126,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.98,SNVOR,3.23577202129435,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.98,CRI_basic,2.00249570122808,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.98,CRI_recomputed,2.00249570122808,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.9,SLLR,0.000448260431739798,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.9,SLFOR,0.000844206739483068,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.9,SNVOR,0.000569093706522289,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.9,CRI_basic,0.000553,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.9,CRI_recomputed,0.000553,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.95,SLLR,0.000514,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.95,SLFOR,0.00150290429068584,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.95,SNVOR,0.000888296068066219,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.95,CRI_basic,0.00072658936451862,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.95,CRI_recomputed,0.000726589364518619,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.98,SLLR,0.000553,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.98,SLFOR,0.00259868223576315,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.98,SNVOR,0.00170470409108395,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.98,CRI_basic,0.000943803442130369,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_actual,0.98,CRI_recomputed,0.000943803442130368,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.9,SLLR,4.48260431739799,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.9,SLFOR,8.44206739483068,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.9,SNVOR,5.69093706522289,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.9,CRI_basic,5.53,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.9,CRI_recomputed,5.53,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.95,SLLR,5.14,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.95,SLFOR,15.0290429068584,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.95,SNVOR,8.88296068066219,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.95,CRI_basic,7.2658936451862,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.95,CRI_recomputed,7.26589364518619,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.98,SLLR,5.53,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.98,SLFOR,25.9868223576315,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.98,SNVOR,17.0470409108395,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.98,CRI_basic,9.43803442130369,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,initial_probability_weighted_display,0.98,CRI_recomputed,9.43803442130368,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.9,SLLR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.9,SLFOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.9,SNVOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.9,CRI_basic,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.9,CRI_recomputed,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.95,SLLR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.95,SLFOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.95,SNVOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.95,CRI_basic,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.95,CRI_recomputed,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.98,SLLR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.98,SLFOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.98,SNVOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.98,CRI_basic,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,transition_probability_weighted,0.98,CRI_recomputed,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.9,SLLR,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.9,SLFOR,1.52070739890127,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.9,SNVOR,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.9,CRI_basic,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.9,CRI_recomputed,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.95,SLLR,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.95,SLFOR,2.41121234765355,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.95,SNVOR,1.36142836301705,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.95,CRI_basic,1.07211640361401,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.95,CRI_recomputed,1.07211640361401,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.98,SLLR,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.98,SLFOR,4.85207198492384,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.98,SNVOR,1.92356970911339,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.98,CRI_basic,1.76705736893609,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,severity_only,0.98,CRI_recomputed,1.76705736893609,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.9,SLLR,0.000473,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.9,SLFOR,0.000582,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.9,SNVOR,0.000553,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.9,CRI_basic,0.000514,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.9,CRI_recomputed,0.000514,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.95,SLLR,0.000514,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.95,SLFOR,0.00111998781621877,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.95,SNVOR,0.000685,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.95,CRI_basic,0.000603,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.95,CRI_recomputed,0.000603,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.98,SLLR,0.000582,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.98,SLFOR,0.00193361854294001,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.98,SNVOR,0.000959788633656395,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.98,CRI_basic,0.000770243352558389,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_actual,0.98,CRI_recomputed,0.000770243352558389,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_display,0.9,SLLR,4.73,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_display,0.9,SLFOR,5.82,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_display,0.9,SNVOR,5.53,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_display,0.9,CRI_basic,5.14,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,wind_speed_11_28,initial_probability_weighted_display,0.9,CRI_recomputed,5.14,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
