parameter_set_id,target_group,scenario_id,sample_variant,metric_name,metric_source,sigma,paper_value,sim_var_value,absolute_gap,relative_gap,ratio_paper_to_sim,match_status,note
low_hidden_failure,wind_speed_scan,wind_speed_11_28,initial_probability_weighted_display,SLLR,SLLR,0.95,7.5361,5.14,-2.3961,0.317949560389384,1.46616702992859,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_11_28,initial_probability_weighted_display,SLFOR,SLFOR,0.95,6.0213,11.1998781621876,5.1785781621876,0.86004306414637,0.537621871879544,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_11_28,initial_probability_weighted_display,SNVOR,SNVOR,0.95,6.5482,6.85,0.3018,0.046088994519258,0.955941466285917,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_11_28,initial_probability_weighted_display,CRI,CRI_recomputed,0.95,7.0356,6.03,-1.0056,0.142930220175931,1.1667659756607,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_11_28,initial_probability_weighted_display,CRI,CRI_basic,0.95,7.0356,6.03,-1.0056,0.142930220175931,1.1667659756607,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_12_00,initial_probability_weighted_display,SLLR,SLLR,0.95,6.6351,5.14,-1.4951,0.225331912807356,1.29087523523828,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_12_00,initial_probability_weighted_display,SLFOR,SLFOR,0.95,4.7631,15.0290429068584,10.2659429068584,2.15530657587534,0.316926348044428,wrong_scale,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_12_00,initial_probability_weighted_display,SNVOR,SNVOR,0.95,4.9822,8.88296068066219,3.90076068066219,0.782939243250562,0.56087149524083,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_12_00,initial_probability_weighted_display,CRI,CRI_recomputed,0.95,5.9301,7.26589364518619,1.33579364518619,0.225256474583854,0.81615551691612,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_12_00,initial_probability_weighted_display,CRI,CRI_basic,0.95,5.9301,7.2658936451862,1.3357936451862,0.225256474583856,0.816155516916119,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_40pct,initial_probability_weighted_display,SLLR,SLLR,0.95,6.3899,5.14,-1.2499,0.195605534420643,1.24317096436363,close,sigma=0.95 chain-risk VaR comparison
